Rank,Club,Matches,W,D,L,Goals,+/-,Pts
1,Liverpool FC,24,15,6,3,50:28,22,51
2,Arsenal FC,24,13,8,3,43:19,24,47
3,Manchester City,23,14,4,5,48:22,26,46
4,Chelsea FC,23,12,6,5,35:23,12,42
5,Newcastle United,23,12,3,8,39:29,10,39
6,Crystal Palace,23,10,9,4,35:25,10,39
7,Aston Villa,23,11,6,6,30:24,6,39
8,Everton FC,24,10,8,6,32:23,9,38
9,Brighton & Hove Albion,23,11,5,7,41:37,4,38
10,Brentford FC,24,10,6,8,39:32,7,36
11,AFC Bournemouth,23,10,5,8,35:28,7,35
12,Nottingham Forest,23,9,5,9,36:35,1,32
13,Fulham FC,23,9,3,11,29:33,-4,30
14,Wolverhampton Wanderers,23,8,2,13,25:36,-11,26
15,Manchester United,23,6,6,11,27:35,-8,24
16,Tottenham Hotspur,23,7,2,14,31:38,-7,23
17,West Ham United,23,6,5,12,27:38,-11,23
18,Leicester City,19,3,2,14,11:38,-27,11
19,Sunderland AFC,4,2,1,1,5:3,2,7
20,Ipswich Town,19,1,4,14,18:49,-31,7
21,Southampton FC,19,1,3,15,14:47,-33,6
22,Leeds United,4,1,1,2,1:6,-5,4
23,Burnley FC,4,1,0,3,4:7,-3,3
